"Facility","Permit Number","Permit Type","Status","Permittee","Location","City","County","Issuance","Permit Id","Facility Id","Latitude","Longitude","Zip","Application To Nco","Activity","Site Id"
"Orlinda Convenience Center","CCC740000060","CONVENIENCE","Active","ROBERTSON COUNTY","9105 Highway 49, East - Orlinda","-","Robertson","MAR-15-1994","433","CCC740000060","36.597231","-86.719715","-","-","CONVENIENCE","51508"
"Cross Plains Convenience Center","CCC740000061","CONVENIENCE","Active","ROBERTSON COUNTY","4563 Yates Cave Road","Cross Plains","Robertson","MAR-15-1994","434","CCC740000061","36.551318","-86.70314","-","-","CONVENIENCE","51509"
"Cedar Hill Convenience Center","CCC740000062","CONVENIENCE","Active","ROBERTSON COUNTY","2235 Old Washington Rd","Cedar Hill","Robertson","MAR-15-1994","435","CCC740000062","36.54508","-86.999531","-","-","CONVENIENCE","51510"
"West Farm Road Convenience Center","CCC740000466","CONVENIENCE","Active","ROBERTSON COUNTY GOV'T. (ROY A. APPLE, CO. EXEC.)","2916 WEST COUNTY FARM RD","SPRINGFIELD","Robertson","AUG-23-2001","436","CCC740000466","36.456403","-86.903402","37172","-","-","47750"
"City Of White House-Industrial Drive Convenience Center","CCC740000527","CONVENIENCE","Active","CITY OF WHITE HOUSE/PUBLIC WORKS","427 Industrial Drive","White House","Robertson","AUG-01-2007","437","CCC740000527","36.476818","-86.682126","-","-","-","51511"
"Almaville Convenience Center","CCC750000269","CONVENIENCE","Active","RUTHERFORD COUNTY","7693 Almaville Road","-","Rutherford","MAY-31-1995","438","CCC750000269","35.868333","-86.579722","-","-","CONVENIENCE RECYCLING","51512"
"Cranor Road Convenience Center","CCC750000270","CONVENIENCE","Active","RUTHERFORD COUNTY","1567 Cranor Road","-","Rutherford","MAY-31-1995","439","CCC750000270","35.841364","-86.279931","-","-","CONVENIENCE TIRE STORAGE","51513"
"Brandyville Convenience Center","CCC750000271","CONVENIENCE","Active","RUTHERFORD COUNTY","6615 Brandyville Pike","-","Rutherford","MAY-31-1995","440","CCC750000271","35.781944","-86.296389","-","-","CONVENIENCE","51514"
"Eagleville Convenience Center","CCC750000272","CONVENIENCE","Active","RUTHERFORD COUNTY","1109 Highway 41A South","-","Rutherford","MAY-31-1995","441","CCC750000272","35.727778","-86.641944","-","-","CONVENIENCE RECYCLING","51515"
"Epps Mill Road Convenience Center","CCC750000273","CONVENIENCE","Termination","RUTHERFORD COUNTY","6267 Epps Mill Road","-","Rutherford","MAY-31-1995","442","CCC750000273","35.726389","-86.316111","-","-","CONVENIENCE
Permit closed by site inspection 5/13/16.  NFO","51516"
"Lascassas Convenience Center","CCC750000274","CONVENIENCE","Active","RUTHERFORD COUNTY","6883 Lascassas Pike","-","Rutherford","MAY-31-1995","443","CCC750000274","35.928056","-86.268333","-","-","CONVENIENCE RECYCLING","51517"
"Leanna Convenience Center","CCC750000275","CONVENIENCE","Active","RUTHERFORD COUNTY","4303 Sulphur Springs Road","-","Rutherford","MAY-31-1995","444","CCC750000275","35.933889","-86.431111","-","-","CONVENIENCE","51518"
"Midland Convenience Center","CCC750000276","CONVENIENCE","Active","RUTHERFORD COUNTY","4040 Rock Springs-Midland Road","Christiana","Rutherford","MAY-31-1995","445","CCC750000276","35.703056","-86.475833","37037","-","CONVENIENCE","51519"
"Rock Crusher Convenience Center","CCC750000277","CONVENIENCE","Active","RUTHERFORD COUNTY","3895 Shelbyville Pike","-","Rutherford","MAY-31-1995","446","CCC750000277","35.766111","-86.403333","-","-","CONVENIENCE","51520"
"Rockvale Convenience Center","CCC750000278","CONVENIENCE","Active","RUTHERFORD COUNTY","8923 Rockvale Road","-","Rutherford","MAY-31-1995","447","CCC750000278","35.757778","-86.530833","-","-","CONVENIENCE","51521"
"Sand Hill Road Convenience Center","CCC750000279","CONVENIENCE","Active","RUTHERFORD COUNTY","140 Sand Hill Road","-","Rutherford","MAY-31-1995","448","CCC750000279","36.023889","-86.564444","-","-","CONVENIENCE RECYCLING","51522"
"Walter Hill Convenience Center","CCC750000280","CONVENIENCE","Termination","RUTHERFORD COUNTY","5362 Lebanon Pike","-","Rutherford","MAY-31-1995","449","CCC750000280","35.935722","-86.378409","-","-","CONVENIENCE","51523"
"Weakley Convenience Center","CCC750000281","CONVENIENCE","Active","RUTHERFORD COUNTY","135 Weakley Lane","-","Rutherford","MAY-31-1995","450","CCC750000281","35.993037","-86.490077","-","-","CONVENIENCE TIRE STORAGE","51524"
"Walter Hill Convenience Center","CCC750000489","CONVENIENCE","Active","RUTHERFORD COUNTY GOVERNMENT","Jefferson Pike And Shady Lane","Murfreesboro","Rutherford","MAR-12-2004","452","CCC750000489","35.931651","-86.359347","-","-","-","67001"
"Robbins Convenience Center","CCC760000067","CONVENIENCE","Inactive","SCOTT COUNTY","SR-29 Near Tunnel Hill Road","Robbins","Scott","MAR-18-1994","453","CCC760000067","36.360278","-84.582778","-","-","CONVENIENCE","53653"
"Winona Convenience Center","CCC760000068","CONVENIENCE","Inactive","SCOTT COUNTY","Rt 63 At Winona Road","-","Scott","MAR-18-1994","454","CCC760000068","36.397222","-84.438611","-","-","CONVENIENCE","53654"
"Winfield Convenience Center","CCC760000069","CONVENIENCE","Inactive","SCOTT COUNTY","SR-29, Near Piney Grove Road","Winfield","Scott","MAR-18-1994","455","CCC760000069","36.551944","-84.452778","-","-","CONVENIENCE","53655"
"West Oneida Convenience Center","CCC760000070","CONVENIENCE","Inactive","SCOTT COUNTY","Coopertown Road","-","Scott","MAR-18-1994","456","CCC760000070","36.4975","-84.573611","-","-","CONVENIENCE","53656"
"Scott County Ccc Recyclng Convenience Center","CCC760000071","CONVENIENCE","Inactive","SCOTT COUNTY","300 Roberta Lane","Oneida","Scott","MAR-18-1994","457","CCC760000071","36.5508","-84.4862","37841","-","CONVENIENCE RECYCLING TIRES","9402"
"Helenwood Convenience Center","CCC760000409","CONVENIENCE","Active","SCOTT CO. GOV'T. (CO. EXEC.)","Old Hwy 27 And Scott High Drive, Helenwood","-","Scott","MAY-22-1997","458","CCC760000409","36.405022","-84.535574","-","-","-","51525"
"West Valley Convenience Center","CCC770000247","CONVENIENCE","Active","SEQUATCHIE COUNTY","SR-28, South City Of Dunlap","Dunlap","Sequatchie","MAY-08-1995","459","CCC770000247","35.352222","-85.403889","-","-","CONVENIENCE RECYCLING","51526"
"Cagle Community Convenience Center","CCC770000248","CONVENIENCE","Active","SEQUATCHIE COUNTY","Cagle Community, SR-8","-","Sequatchie","MAY-08-1995","460","CCC770000248","35.469444","-85.451111","-","-","CONVENIENCE RECYCLING","51527"
"South Polk Convenience Center","CCC700000110","CONVENIENCE","Active","POLK COUNTY","Old Federal Road - South Polk","-","Polk","MAY-14-1994","396","CCC700000110","35.083333","-84.716667","-","-","CONVENIENCE","51528"
"Linsdale Convenience Center","CCC700000111","CONVENIENCE","Active","POLK COUNTY","Dentville Road, Linsdale","-","Polk","MAY-14-1994","397","CCC700000111","35.261945","-84.621384","-","-","CONVENIENCE","51529"
"Ditty Road Convenience Center","CCC710000101","CONVENIENCE","Inactive","PUTNAM COUNTY","3305 Ditty Road","Cookeville","Putnam","APR-27-1994","398","CCC710000101","36.107778","-85.568611","-","-","CONVENIENCE","54017"
"Bangham Convenience Center","CCC710000102","CONVENIENCE","Active","PUTNAM COUNTY","T795 Hilham Road","-","Putnam","APR-27-1994","399","CCC710000102","36.242828","-85.467634","-","-","CONVENIENCE","51530"
"Bloomington Springs Convenience Center","CCC710000103","CONVENIENCE","Active","PUTNAM COUNTY","Martin Creek Road","-","Putnam","APR-27-1994","400","CCC710000103","36.202762","-85.632154","-","-","CONVENIENCE","51531"
"Monterey Convenience Center","CCC710000104","CONVENIENCE","Active","PUTNAM COUNTY","2730 Old Watson Road","-","Putnam","APR-27-1994","401","CCC710000104","36.124333","-85.244583","-","-","CONVENIENCE","51532"
"Dacco Quarry Convenience Center","CCC710000105","CONVENIENCE","Active","PUTNAM COUNTY","3000 Dacco Quarry Road","-","Putnam","APR-27-1994","402","CCC710000105","36.140333","-85.438333","-","-","CONVENIENCE","51533"
"Gentry Community Center Convenience Center","CCC710000310","CONVENIENCE","Active","PUTNAM COUNTY","14226 Nashville Highway","Baxter","Putnam","SEP-25-1995","403","CCC710000310","36.179444","-85.748611","-","-","CONVENIENCE","51534"
"Silver Point Community Center Convenience Center","CCC710000311","CONVENIENCE","Active","PUTNAM COUNTY","130 Center Hill Dam","Silver Point","Putnam","SEP-25-1995","404","CCC710000311","36.0935","-85.73571","-","-","CONVENIENCE","51535"
"Brotherton Mtn Community Center Convenience Center","CCC710000312","CONVENIENCE","Active","PUTNAM COUNTY","Brotherton Mountain Com'Ty Center","-","Putnam","SEP-25-1995","405","CCC710000312","36.189142","-85.383945","-","-","CONVENIENCE","51536"
"Burgess Falls Road Convenience Center","CCC710000521","CONVENIENCE","Active","PUTNAM COUNTY SOLID WASTE","6007 Burgess Falls Rd.","Cookeville","Putnam","JUL-12-2006","406","CCC710000521","36.07535","-85.5913","38506","-","-","20112"
"Morgan Convenience Center","CCC720000149","CONVENIENCE","Active","RHEA COUNTY",".5M West Of Dayton On SR-30","Dayton","Rhea","AUG-15-1994","407","CCC720000149","35.500556","-85.038056","37321","-","CONVENIENCE RECYCLING","51537"
"St  Clair Convenience  Center","CCC720000150","CONVENIENCE","Active","RHEA COUNTY",".5M E Of US-27 On Rocky Springs Rd","Spring City","Rhea","AUG-15-1994","408","CCC720000150","35.731944","-84.806945","37381","-","CONVENIENCE RECYCLING","51538"
"Music City Waste Processing Facility","SWP190001446","PROCESSING","Active","Music City Waste, LLC","1124-A Menzler Road","Nashville","Davidson","-","1721","SWP190001446","36.13781","-86.738048","37210","JAN-14-2011","Processing construction and demolition waste.","62994"
"Flintville Convenience Center","CCC520000549","CONVENIENCE","Active","Lincoln County Government","Watermill Road (0.6 miles West of Hwy. 121)","Flintville","Lincoln","MAY-13-2011","1741","CCC520000549","35.065141","-86.384903","37335","APR-29-2011","Flintville Convenience Center receives residential solid waste with 2 compactors and 3 containers.","58285"
"DP Trucking, LLC dba Earth First C&D Recycling","SWP190001447","PROCESSING","Active","Earth First C&D Recycling","7272 Centennial Place","Nashville","Davidson","-","1762","SWP190001447","36.179074","-86.876593","-","MAY-13-2011","Processing and recycling C&D waste","64333"
"Old Birds Creek Road Convenience Center","CCC780000523","CONVENIENCE","Active","Sevier County Government","3500 Old Birds Creek Road","Sevierville","Sevier","MAY-05-2011","1662","CCC780000523","35.788157","-83.459092","-","APR-12-2011","Convenience Center established by Sevier County Government","62685"
"Allensville Road Convenience Center","CCC780000548","CONVENIENCE","Active","Sevier County Government","759 Allensville Road","Sevierville","Sevier","MAY-05-2011","1663","CCC780000548","35.889054","-83.549675","37862","APR-12-2011","Convenience Center established by Sevier County Government","62686"
"ASR Systems of the Tri-Cities","SWP820001444","PROCESSING","Active","ASR Systems of the Tri-Cities","1440 Highway 11 W","Bristol","Sullivan","MAY-05-2011","1664","SWP820001444","36.587841","-82.271927","37621","MAR-28-2011","Processing and recycling asphalt shingles","62688"
"Heritage Environmental Services Processing &amp; Recycling","SWP190001443","PROCESSING","Termination","Heritage Environmental Services, LLC","701 Visco Drive","Nashville","Davidson","MAR-30-2011","1641","SWP190001443","36.156789","-86.749281","37210","-","-","62224"
"Middle Tennessee Eco Park:  C & D Recycling Center","SWP190001445","PROCESSING","Active","WM Middle TN Environmental Center, LLC","4651 Amy Lynn Drive","Nashville","Davidson","APR-21-2011","1661","SWP190001445","36.204167","-86.879167","37218","MAR-29-2011","C&D waste recycling","9317"
"Medical Waste of America, LLC","TRF470001441","TRANSFER","Active","Medical Waste of America, LLC","5102 Middlebrook Pike","Knoxville","Knox","MAR-14-2011","1584","TRF470001441","35.957075","-83.997567","37921","JAN-31-2011","-","61457"
"Earth First C&D Recycling","SWP630001438","PROCESSING","Termination","Earth First C&D Recycling","Po Box 1112","Clarksville","Montgomery","FEB-09-2011","1587","SWP630001438","36.540204","-87.542058","-","DEC-03-2010","Processing and recycling of C&D waste at the Bi-County SWM Systems Class III landfill","47851"
"EcoSafe Class I Landfill","SNL820000282","CLASS I","Active","EcoSafe Systems, LLC","385 Harr Lane","Blountville","Sullivan","FEB-25-2011","1601","SNL820000282","36.559058","-82.352904","37617","MAR-20-2006","Class I Landfill","61898"
"Waste Management - Heiskell Facility","TRF470001442","TRANSFER","Termination","Waste Management Knoxville Medical Waste Transfer Station","9504 Diggs Gap Rd.","Heiskell","Knox","MAR-31-2011","1621","TRF470001442","36.101","-84.024","37754","MAR-14-2011","Medical waste transfer station is co-located with Waste Management Knoxville Hauling Company.
Permit terminated April 20, 2015.","60512"
"Re Run of Tennessee, LLc","SWP750001416","PROCESSING","Active","Re Run of Tennessee, LLC","783 14th Avenue and D Street","Smyrna","Rutherford","JAN-07-2011","1501","SWP750001416","35.986944","-86.516111","37167","DEC-31-2008","Non haz waste from Nissan Plant will be recycled.","61021"
"Coffee County Tire Storage","TSF160001439","TIRE STORAGE","Active","Coffee County Government","2180 Murfreesboro Highway","Manchester","Coffee","JAN-18-2011","1521","TSF160001439","35.4986","-86.107169","37349","-","Tires are collected and loaded directly into trailers.  When said trailer is full, trailer is transported by contractor for end use.  Tires are never stored on the ground - they are loaded directly into trailers.","61081"
"Parr Industries, Inc.","SWP280001440","PROCESSING","Active","Parr Industries, Inc.","500 South 11th Street","Pulaski","Giles","JAN-21-2011","1522","SWP280001440","35.2","-87.079444","37478","-","Solidification, recycling, and/or landfilling of Petroleum and other non-hazardous material, liquids, and solids.  Treated water will be discharged to the Pulaski POTW.","7829"
"A1 Waste and Recycling","DML570000124","CLASS III","Termination","A1 Waste and Recycling, LLC","677 Betty Manley Road","Denmark","Madison","APR-09-2012","1541","DML570000124","35.55682","-88.906201","38391","JUL-18-2008","C&D waste disposal facility","48647"
"Claiborne County Class III Landfill","DML130000125","CLASS III","Active","Claiborne County","501 Poore Road","New Tazewell","Claiborne","-","1545","DML130000125","36.400833","-83.649444","-","DEC-12-2008","Class III landfill","49002"
"Davis Creek Energy, LLC","IDL070000219","CLASS II","Inactive","Davis Creek Energy, LLC","Westbourne Lane","Duff","Campbell","-","1561","IDL070000219","36.4952","-84.0325","37729","MAR-31-2010","New Class II landfill for coal combustion products only (structural monofill).","38848"
"DeKalb County Landfill","DML210000120","CLASS III","Pending","DeKalb County Government","455 Felts Road","Smithville","DeKalb","-","1564","DML210000120","35.971944","-85.687222","37166","NOV-20-2013","Converting Class I landfill footprint to a Class III landfill at the same site as existing Class I Landfill.","11554"
"E. I. DuPont Landfill Ross Hollow","IDL430000218","CLASS II","Active","The Chemours Company FC LLC","1900 DuPont Road","New Johnsonville","Humphreys","-","1565","IDL430000218","36.041256","-87.98146","37134","AUG-24-2009","New Class II Landfill (Ross Hollow)","4834"
"TAP-SSC Class II Landfill","IDL600000213","CLASS II","Active","Tennessee Aluminum Processors, Inc. and Smelter Service Corporation","Hoover Mason Road","Mount Pleasant","Maury","JUL-15-2011","1567","IDL600000213","35.5492","-87.1758","38474","MAR-22-2010","New Class II Landfill.","60777"
"City of Murfreesboro Convenience Center","CCC750000440","CONVENIENCE","Active","City of Murfreesboro","648 West Main Street","Murfreesboro","Rutherford","MAR-02-1999","1568","CCC750000440","35.847222","-86.401111","37129","-","-","35940"
"Terra Renewal - Baisley Farm - Plateau Road","LND180000049","LAND APPLICATION","Active","Terra Renewal, LLC","0.80 miles NE of int. of Plateau Rd and I-40 Exit 311","Crossville","Cumberland","DEC-23-2010","1481","LND180000049","36.060278","-85.138056","-","-","Land Application of Food Processing Residuals for Beneficial Use as Fertilizer on Agricultural Operations","60963"
"Mountain Laurel Environmental Corporation","TRF300001364","TRANSFER","Active","MOUNTAIN LAUREL ENVIRONMENTAL CORPORATION","6040 Whitehouse Road","Greeneville","Greene","JUL-29-2003","1114","TRF300001364","36.244817","-82.811502","37744","APR-07-2003","Solid waste transfer station and sorting","10070"
"Sevier Solid Waste Class III - South Landfill","DML780000126","CLASS III","Active","Sevier Solid Waste Inc.","1855 Ridge Road","Pigeon Forge","Sevier","JUL-28-2015","1449","DML780000126","35.817","-83.552","37863","OCT-06-2010","-","9502"
"Woodyard Convenience Center","CCC250000001","CONVENIENCE","Active","Fentress County Convenience Center","3329 South York Highway","-","Fentress","NOV-24-1993","4190","CCC250000001","36.3625","-84.944722","-","APR-16-1993","-","14738"
"360 Recycling  Processing Facility","SWP190001437","PROCESSING","Termination","360 Recycling","10 Quality Way","Nashville","Davidson","NOV-15-2010","1441","SWP190001437","36.215","-86.77055","37207","AUG-16-2010","Recycling of Construction/Demolition Waste","9298"
"Richardson Recycling ","SWP520001428","PROCESSING","Active","Richardson Recycling Facility","32 Mooneyham Road","Fayetteville","Lincoln","DEC-06-2010","1464","SWP520001428","35.02295","-86.51644","37334","OCT-23-2009","Processing and recycling construction/demolition waste.","59571"
"Elk Valley Convenience Center","CCC070000541","CONVENIENCE","Active","CAMPBELL COUNTY GOVERNMENT","6783 Highway 297","Pioneer","Campbell","-","37","CCC070000541","36.481766","-84.253755","37729","-","-","59598"
"Vasper Convenience Center","CCC070000543","CONVENIENCE","Active","CAMPBELL COUNTY GOVERNMENT","126 Old Vasper Lane","Caryville","Campbell","-","38","CCC070000543","36.266667","-84.183333","37714","-","-","59599"
"White Oak Convenience Center","CCC070000544","CONVENIENCE","Active","CAMPBELL COUNTY GOVERNMENT","3750 Davis Creek Road","Duff","Campbell","-","39","CCC070000544","36.500685","-83.990634","37729","-","-","59600"
"College Hill Convenience Center","CCC070000545","CONVENIENCE","Active","CAMPBELL COUNTY GOVERNMENT","702 Demory Road","LaFollette","Campbell","-","40","CCC070000545","36.353089","-84.134299","37766","-","-","59602"
"Oswego Convenience Center","CCC070000546","CONVENIENCE","Active","CAMPBELL COUNTY GOVERNMENT","546 Wollridge Pike","Jellico","Campbell","-","41","CCC070000546","36.566667","-84.183333","37769","-","-","59604"
"Peabody Convenience Center","CCC070000547","CONVENIENCE","Active","CAMPBELL COUNTY GOVERNMENT","3934 S. Hwy 25","LaFollette","Campbell","-","42","CCC070000547","36.463123","-84.079249","37766","-","-","59605"
"Jack Daniel Distillery / Tract 3","LND640000001","LAND APPLICATION","Active","JACK DANIEL DISTILLERY","3760 Fayetteville Highway","Lynchburg","Moore","-","803","LND640000001","35.2368","-86.4149","37352","-","-","7754"
"Roberta Landfill Phase II, Inc.","SNL760000281","CLASS I","Active","JOHNNY C. KING","166 Roberta Lane","Oneida","Scott","JUL-23-2010","985","SNL760000281","36.548471","-84.485023","37841","-","-","56892"
"Tidi Waste Transfer Station","TRF320001436","TRANSFER","Termination","TIDI WASTE TRANSFER STATION","415 Ryder Lane","Morristown","Hamblen","JUL-26-2010","1298","TRF320001436","36.201087","-83.316488","37816","JUN-15-2010","Medical waste transfer station then transported for treatment and disposal.","58914"
"Atomic Resource Recovery Processing Facility","SWP750001435","PROCESSING","Termination","Atomic Resource Recovery, LLC","151 Bain  Street","La Vergne","Rutherford","APR-16-2012","1200","SWP750001435","36.00435","-86.589617","37086","-","Processing and recycling of C&D waste; change of ownership approved for Earth First C&D Recycling on 16-APR-12.  Change of ownership approved for Atomic Resource Recovery, LLC on 22-OCT-13.","58915"
"Gallatin City Landfill","SNL830000047","CLASS I","Inactive","CITY OF GALLATIN","1080 Long Hollow Pike","Gallatin","Sumner","JAN-01-1972","1002","SNL830000047","36.389324","-86.488066","37066","-","LANDFILL","58558"
"City Of Chattanooga HHW Facility","CCC330000553","CONVENIENCE","Active","City of Chattanooga","3925 North Hawthorne Street","Chattanooga","Hamilton","FEB-17-2012","2101","CCC330000553","35.091667","-85.241667","-","-","Household Hazardous Waste Facility","50588"
"Ground Up Recycling - Mt. Juliet","SWP950001460","PROCESSING","Active","Ground Up, Inc.","5776 East Division Street","Mount Juliet","Wilson","APR-19-2012","2121","SWP950001460","36.189811","-86.421525","37122","FEB-13-2012","Recycling of tear off shingles, metals, and wood.","69874"
"Terra Renewal - Site 3","LND180000048","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","U S Hwy 70N - Creston Rd - Joe Tabor Rd","Crossville","Cumberland","-","791","LND180000048","36.050278","-85.0975","-","-","-","58004"
"MedSafe Environmental Medical Waste Processing","SWP830001431","PROCESSING","Termination","MEDSAFE LLC","115 Freehill Road","Hendersonville","Sumner","-","1252","SWP830001431","36.3025","-86.648333","37075","-","Dry chemical processing of medical waste.","58005"
"WASTE CONNECTIONS OF TENNESSEE, INC. LENOIR CITY","TRF530001424","TRANSFER","Active","WASTE CONNECTIONS OF TENNESSEE, INC. LENOIR CITY","6727 Hwy 11 E","Lenoir City","Loudon","AUG-04-2009","1328","TRF530001424","35.821239","-84.254483","-","-","-","47918"
"Ferry Road Convenience Center","CCC630000554","CONVENIENCE","Active","Bi-County Solid Waste Management Systems","2351 Ferry Road","Clarksville","Montgomery","FEB-10-2012","2081","CCC630000554","36.455903","-87.374337","37040","FEB-06-2012","Convenience Center for drop-off of residential/household solid waste.","69680"
"Griffintown Road Convenience Center","CCC110000540","CONVENIENCE","Active","CHEATHAM COUNTY GOVERNMENT","1020 Griffintown Road","Ashland City","Cheatham","-","52","CCC110000540","36.226667","-87.120556","37015","-","-","57767"
"City of Newport Solid Waste Transfer Station","TRF150001433","TRANSFER","Active","CITY OF NEWPORT","360 Cope Boulevard","Newport","Cocke","MAY-17-2010","1282","TRF150001433","35.969594","-83.2018","-","MAY-10-2010","-","57768"
"Environmental Waste Solutions Grease Processing Facility","SWP470001432","PROCESSING","Termination","ENVIRONMENTAL WASTE SOLUTIONS GREASE PROCESSING","601 Van Street","Knoxville","Knox","-","1159","SWP470001432","35.97","-83.92","37921","-","-","57879"
"Quail Hollow Road Convenience Center","CCC630000539","CONVENIENCE","Termination","BI-COUNTY SOLID WASTE MANAGEMENT SYSTEM (PETE REED, DIRECTOR)","77 Quail Hollow Road","Clarksville","Montgomery","-","372","CCC630000539","36.500058","-87.232139","-","-","As of 1/16/2013 , This facility is not active and has not been built","56896"
"Anderson Convenience Center","CCC670001525","CONVENIENCE","Active","OVERTON COUNTY GOVERNMENT","1603 Cedar Chapel ","Monterey","Overton","NOV-14-2005","386","CCC670001525","36.190308","-85.241439","-","-","-","57044"
"Allons Convenience Center","CCC670001524","CONVENIENCE","Active","OVERTON COUNTY GOVERNMENT","688 Old Celina Road","Allons","Overton","NOV-14-2005","385","CCC670001524","36.455113","-85.353084","-","-","-","57043"
"Livingston Convenience Center","CCC670000038","CONVENIENCE","Active","OVERTON COUNTY","245 Industrial Park Drive","-","Overton","JAN-11-1994","380","CCC670000038","36.351812","-85.328602","-","-","CONVENIENCE TIRE STORAGE","57060"
"Oros & Busch Application Technologies, Inc.","LND660000046","LAND APPLICATION","Active","Oros & Busch Application Technologies, Inc.","2146 Oakshire Road","Union City","Obion","-","804","LND660000046","36.418333","-88","-","-","-","57334"
"Hillshire Brand Company","LND230000047","Land Application Facility","Active","Hillshire Brands Company","2000 Biffle Road","Newbern","Dyer","-","792","LND230000047","36.1404","-89.2722","38059","-","-","8916"
"South Shelby Landfill Processing Facility","SWP790001430","PROCESSING","Active","BFI WASTE SYSTEMS OF NORTH AMERICA LLC","5494 Malone Road","Memphis","Shelby","-","1234","SWP790001430","35.001785","-89.909826","38118","-","-","8784"
"United Waste Haulers Transfer Station","TRF600001407","TRANSFER","Active","UNITED WASTE HAULERS OF TENNESSEE, LLC","8000 Mt. Joy Road","Mount Pleasant","Maury","FEB-02-2010","1333","TRF600001407","35.520833","-87.2375","38474","DEC-01-2009","-","7170"
"Industrial Converting Company","SWP830001458","PROCESSING","Termination","Industrial Converting Company","1016 Lavern Circle","Hendersonville","Sumner","DEC-07-2011","2041","SWP830001458","-","-","37075","NOV-17-2011","Medical waste processing facility (autoclave system)","68701"
"MedSafe Medical Waste Processing","SWP830001459","PROCESSING","Active","MedSafe LLC","204 LOUISE AVE","Hendersonville","Sumner","JAN-03-2012","2061","SWP830001459","36.302571","-86.65236","37075","DEC-14-2011","Medical waste processing facility","68956"
"Music City Waste Processing Facility","SWP190001429","PROCESSING","Termination","MUSIC CITY WASTE, LLC","3025 Charlotte Pike","Nashville","Davidson","NOV-24-2009","1092","SWP190001429","36.151944","-86.818611","37207","-","-","54831"
"Bivens Industrial Park Monofill","IDL030000215","CLASS II","Active","TRANS-ASH, INC.","Bivens-Cypress Creek Rd. and Old Hwy 70","Camden","Benton","JUN-24-2009","669","IDL030000215","36.041963","-88.07264","38320","-","-","24647"
"Greenway Recover & Recycle Transfer Station","TRF660001427","TRANSFER","Termination","GREENWAY RECOVER & RECYCLE, LLC","1341 N. Highway 51 South","Union City","Obion","NOV-02-2009","1341","TRF660001427","36.37735","-89.11721","38261","-","Permit has been terminated.","50837"
"WM Antioch Recycle Center","SWP190001457","PROCESSING","Active","WASTE MANAGEMENT, INC. OF TENNESSEE","1428 Antioch Pike","Antioch","Davidson","OCT-28-2011","2021","SWP190001457","36.080278","-86.685556","37013","AUG-15-2011","Processing and recycling of solid waste loads by use of sorter.","7973"
"Boyds Creek Convenience Center","CCC780000551","CONVENIENCE","Active","Sevier County Government","1207 Hodges Bend","Sevierville","Sevier","NOV-02-2011","2022","CCC780000551","35.921951","-83.66695","37862","OCT-17-2011","Convenience center collection of MSW.","67578"
"Centerview Road Convenience Center","CCC780000552","CONVENIENCE","Active","Sevier County Government","DML 78-0041 is on Centerview Road about 1000 feet north of the Compost Plant and landfills that are on Ridge Road and sits directly east of the landfills that are on RIdge Rd and Rainbow Rd.  ","-","Sevier","NOV-02-2011","2023","CCC780000552","35.824167","-83.548333","-","OCT-17-2011","Convenience center collection of MSW.","50458"
"Rich Valley Farms","LND020000054","LAND APPLICATION","Active","Terra Renewal Services, Inc.","Intersection of New Center Church Road and Old Center Church Road","Shelbyville","Bedford","SEP-27-2011","1982","LND020000054","-","-","-","SEP-22-2011","Land application of food processing residuals on Rich Valley Farms (Jesse Rogers, property owner).","67858"
"Global Envirotech, LLC","TRF330001455","TRANSFER","Active","Global Envirotech, LLC","306 Workman Road","Chattanooga","Hamilton","SEP-23-2011","1981","TRF330001455","34.997808","-85.311731","37410","AUG-26-2011","Handling non-hazardous waste containers from multiple clients and transported to appropriate disposal facilities.","44323"
"Altgen Waste Tire Processing Facility","SWP350001456","PROCESSING","Withdrawn","Altgen, LLC","450 Hwy 368","Grand Junction","Hardeman","-","1983","SWP350001456","-","-","38039","SEP-28-2011","Collecting and processing waste tires to tire-derived-fuel (TDF).","67918"
"Terra Renewal-Hickerson Farm","LND020000055","LAND APPLICATION","Active","Terra Renewal Services, Inc.","Sandusky Road (near Robinson Road)","Shelbyville","Bedford","SEP-29-2011","2001","LND020000055","-","-","-","SEP-26-2011","Land applciation on Hickerson Farm (128.5 acres)","67995"
"Terra Renewal-Cornucopia Farm","LND020000056","LAND APPLICATION","Active","Terra Renewal Services, Inc.","Whitaker Road (south of SR-64)","Shelbyville","Bedford","SEP-29-2011","2002","LND020000056","-","-","-","SEP-26-2011","Land application on Cornucopia Farm (142 acres)","67997"
"Trimble Street C&D Processing and Recycling Facility","SWP190001426","PROCESSING","Termination","BFI WASTE SERVICES, LLC","75 Trimble Street","Nashville","Davidson","SEP-16-2009","1091","SWP190001426","36.145617","-86.758203","37210","-","BFI Waste Services, LLC is processing and recycling C&D waste.","53609"
"Reliable Pharmaceutical Returns","TRF190001451","TRANSFER","Active","Reliable Pharmaceutical Returns, LLC","1420 Donelson Pike, Suite B-10","Nashville","Davidson","SEP-08-2011","1961","TRF190001451","36.095794","-86.677689","37217","AUG-16-2011","-","75056"
"Compost Company Processing Facility","SWP110001454","PROCESSING","Termination","The Compost Company, LLC","3643 Highway 12","Ashland City","Cheatham","SEP-16-2011","1962","SWP110001454","36.369","-87.181","37015","AUG-17-2011","Composting food waste with yard waste.","67716"
