"textbox2,textbox17,SiteName,LocAddr,SiteID,OperAddr,LocAddrCounty,FacContact,OperCompanyName,OpContact,DispAreaNumber,DispAreaTypeDescr,DispAreaStatusTypeDescr"
"All Solid Waste Disposal Areas Report,392708 - MICHIGAN DISPOSAL INC,MICHIGAN DISPOSAL WASTE TREATMENT PLANT,""49350 NORTH I94 SERVICE DRIVE, BELLEVILLE, MI"",MID000724831,""49350 N I 94 SERVICE DR, BELLEVILLE, MI"",WAYNE,MELINDA KEILLOR - (734) 699-6287,,TIM TILOTTI - (734) 699-6201,1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,392708 - MICHIGAN DISPOSAL INC,MICHIGAN DISPOSAL WASTE TREATMENT PLANT,""49350 NORTH I94 SERVICE DRIVE, BELLEVILLE, MI"",MID000724831,""49350 N I 94 SERVICE DR, BELLEVILLE, MI"",WAYNE,MELINDA KEILLOR - (734) 699-6287,,TIM TILOTTI - (734) 699-6201,2),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,392708 - MICHIGAN DISPOSAL INC,MICHIGAN DISPOSAL WASTE TREATMENT PLANT,""49350 NORTH I94 SERVICE DRIVE, BELLEVILLE, MI"",MID000724831,""49350 N I 94 SERVICE DR, BELLEVILLE, MI"",WAYNE,MELINDA KEILLOR - (734) 699-6287,,TIM TILOTTI - (734) 699-6201,3),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,442570 - MICHIGAN ENVIRONS INC,MICHIGAN ENVIRONS INC,""W6111 ELMWOOD RD, MENOMINEE, MI"",MIG000041863,""W6111 ELMWOOD RD, MENOMINEE, MI"",MENOMINEE,ROBERT PLISKA - (906) 228-4000,,SCOT GERARDEN - (906) 863-5998,1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,442570 - MICHIGAN ENVIRONS INC,MICHIGAN ENVIRONS INC,""W6111 ELMWOOD RD, MENOMINEE, MI"",MIG000041863,""W6111 ELMWOOD RD, MENOMINEE, MI"",MENOMINEE,ROBERT PLISKA - (906) 228-4000,,SCOT GERARDEN - (906) 863-5998,2),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,442570 - MICHIGAN ENVIRONS INC,MICHIGAN ENVIRONS INC,""W6111 ELMWOOD RD, MENOMINEE, MI"",MIG000041863,""W6111 ELMWOOD RD, MENOMINEE, MI"",MENOMINEE,ROBERT PLISKA - (906) 228-4000,,SCOT GERARDEN - (906) 863-5998,3),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,470527 - MID MICHIGAN RECYCLING LLC,MID MICHIGAN DEMOLITION DEBRIS RECYCLING FACILITY,""1020 S AVERILL AVE, FLINT, MI"",,""330 TOWN CENTER DR, STE 1100, DEARBORN, MI"",GENESEE,E P BARRETT - (810) 785-4512,,E P BARRETT - (810) 785-4512,1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,477706 - MID-THUMB LANDFILL,MID-THUMB LANDFILL,""M 19, SECTION 21, ARGYLE TOWNSHIP, ARGYLE, MI"",,""2009 APPLEGATE RD, MARLETTE, MI"",SANILAC,(no contact) - (no phone),,(no contact) - (no phone),1),Type II MSW Landfill,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,488983 - MODERN WASTE SYSTEMS INC,MODERN WASTE SYSTEMS INC,""7215 SOUTH BROOKLYN ROAD, NAPOLEON, MI"",,""P.O. BOX 275, NAPOLEON, MI"",JACKSON,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,488983 - MODERN WASTE SYSTEMS INC,MODERN WASTE SYSTEMS INC,""7215 SOUTH BROOKLYN ROAD, NAPOLEON, MI"",,""P.O. BOX 275, NAPOLEON, MI"",JACKSON,(no contact) - (no phone),,(no contact) - (no phone),2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,470525 - MONROE'S RUBBISH REMOVAL INCORPORATED,MONROE'S MATERIAL RECOVERY FACILITY & RECYCLE CENTER,""10025 INDUSTRIAL DR, HOWELL, MI"",,""1477 E. NORTH TERRITORIAL ROAD, WHITMORE LAKE, MI"",LIVINGSTON,ROBERT JOESPHSON - (888) 799-7599,MONROE'S RUBBISH REMOVAL INCORPORATED,ROBERT JOSEPHSON - (734) 878-9669,1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,470419 - MONT- OSCODA ALPENA SOLID WASTE MGMT  AUTHORITY,ALPENA RESOURCE RECOVERY & TRANSFER FACILITY,""4395 M 32 W, ALPENA, MI"",,""PO BOX 789, ATLANTA, MI"",ALPENA,ALAN BAKALARSKI - (517) 354-4158,SOLID  WASTE MANAGEMENT AUTHORITY,SANDY CUNNINGHAM - (989) 000-0000,1),Solid Waste Transfer Facility,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,491708 - MONTEREY TOWNSHIP TRANSFER STATION,MONTEREY TOWNSHIP TRANSFER STATION,""3521 130 TH AVENUE, HOPKINS, MI"",,""2888 130TH AVENUE, ALLEGAN, MI"",ALLEGAN,(no contact) - (no phone),MONTEREY TOWNSHIP HALL,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,450267 - MONTMORENY-OSCODA-ALPENA LANDFILL,MONTMORENCY-OSCODA-ALPENA SWMA,""6751 LANDFILL ROAD, P.O. BOX 13, ATLANTA, MI"",MIG000025706,""P.O. Box 13, ATLANTA, MI"",MONTMORENCY,SANDY CUNNINGHAM - (989) 785-8003,,DOUG BAKER - (989) 785-6500,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,478695 - MPI ACQUISITION LLC,FUTUREMARK MANISTIQUE TYPE III LANDFILL,""1314N STATE HIGHWAY M94, MANISTIQUE, MI"",MIK765791678,""453 S MACKINAC AVE, MANISTIQUE, MI"",SCHOOLCRAFT,RENEE SANTI - (906) 341-4249,,MARK OZOGA - (906) 341-4249,1),Type III Low Hazardous Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,470529 - NEVILLE'S LANDFILL,NEVILLE'S LANDFILL,""8438 JORDAN RD, GRAND BLANC, MI"",,""8438 JORDAN RD, GRAND BLANC, MI"",GENESEE,CLIFF NEVILLE - (810) 636-2977,NEVILLE'S LANDFILL,(no contact) - (no phone),1),Type II MSW Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,470397 - NIAGARA DEVELOPMENT LLC,NIAGARA DEVELOPMENT LLC,""KIMBERLY RD, BREITUNG TOWNSHIP, QUINNESEC, MI"",MIK727536773,""1101 MILL ST, NIAGARA, WI"",DICKINSON,NICK GHERE - (906) 282-1281,,NICK GHERE - (906) 282-1281,1),Type III Low Hazardous Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,412084 - NORTHERN A-1 SERVICES,NORTHERN A-1 SERVICES INC,""3947 US HIGHWAY 131 N, KALKASKA, MI"",MID020906814,""PO BOX 1030, KALKASKA, MI"",KALKASKA,EDWARD ASCIONE - (231) 258-8807,,EDWARD ASCIONE - (231) 258-8807,1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,412084 - NORTHERN A-1 SERVICES,NORTHERN A-1 SERVICES INC,""3947 US HIGHWAY 131 N, KALKASKA, MI"",MID020906814,""PO BOX 1030, KALKASKA, MI"",KALKASKA,EDWARD ASCIONE - (231) 258-8807,,EDWARD ASCIONE - (231) 258-8807,2),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,412084 - NORTHERN A-1 SERVICES,NORTHERN A-1 SERVICES INC,""3947 US HIGHWAY 131 N, KALKASKA, MI"",MID020906814,""PO BOX 1030, KALKASKA, MI"",KALKASKA,EDWARD ASCIONE - (231) 258-8807,,EDWARD ASCIONE - (231) 258-8807,3),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,412084 - NORTHERN A-1 SERVICES,NORTHERN A-1 SERVICES INC,""3947 US HIGHWAY 131 N, KALKASKA, MI"",MID020906814,""PO BOX 1030, KALKASKA, MI"",KALKASKA,EDWARD ASCIONE - (231) 258-8807,,EDWARD ASCIONE - (231) 258-8807,4),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,465299 - NORTHERN DISPOSAL,NORTHERN DISPOSAL,""14697 GALAGER RD, THOMPSONVILLE, MI"",,""14697 GALAGER RD, THOMPSONVILLE, MI"",BENZIE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,421687 - NORTHWEST REFUSE,NORTHWEST REFUSE,""2600 LANSING AVE, JACKSON, MI"",MIG000061728,""2600 LANSING AVE, JACKSON, MI"",JACKSON,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,421687 - NORTHWEST REFUSE,NORTHWEST REFUSE,""2600 LANSING AVE, JACKSON, MI"",MIG000061728,""2600 LANSING AVE, JACKSON, MI"",JACKSON,(no contact) - (no phone),,(no contact) - (no phone),2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,470494 - OAKLAND HEIGHTS DEVELOPMENT INC,OAKLAND HEIGHTS DEVELOPMENT INC,""2350 BROWN RD, AUBURN HILLS, MI"",,""2350 BROWN RD, AUBURN HILLS, MI"",OAKLAND,BILL DOLSEN - (248) 373-2334,""OAKLAND HEIGHTS DEVELOPMENT, INC."",BILL DOLSEN - (248) 373-2334,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,469040 - OCEANA COUNTY TRANSFER STATION,OCEANA COUNTY TRANSFER STATION,""1600 E HAYES ROAD, SHELBY, MI"",,""100 STATE STREET SUITE M4, HART, MI"",OCEANA,SUE JOHNSON - (231) 873-4835,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,440825 - OMNISOURCE CORPORATION,JACKSON TRANSFER FACILITY,""1417 S ELM AVE, JACKSON, MI"",MIG000045343,""1417 S ELM AVE, JACKSON, MI"",JACKSON,(no contact) - (no phone),,CLYDE BILLIPS - (517) 817-2763,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,465381 - ORANGEVILLE TOWNSHIP TRANSFER STATION,ORANGEVILLE TOWNSHIP TRANSFER STATION,""7350 LINDSEY RD, PLAINWELL, MI"",,""7350 LINDSEY RD, PLAINWELL, MI"",BARRY,THOMAS ROOK - (269) 664-4522,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,424474 - OSCEOLA DEVELOPMENT LLC,OSCEOLA DEVELOPMENT LLC LANDFILL,""1681 230TH AVE, REED CITY, MI"",MIK847522620,""1681 230TH AVE, REED CITY, MI"",OSCEOLA,ERNIE LEE - (231) 832-2394,,(no contact) - (no phone),1),Type II MSW Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,424474 - OSCEOLA DEVELOPMENT LLC,OSCEOLA DEVELOPMENT LLC LANDFILL,""1681 230TH AVE, REED CITY, MI"",MIK847522620,""1681 230TH AVE, REED CITY, MI"",OSCEOLA,ERNIE LEE - (231) 832-2394,,(no contact) - (no phone),2),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,491709 - OTSEGO CITY TRANSFER STATION,OTSEGO CITY TRANSFER STATION,""224 NORTH FARMER STREET, OTSEGO, MI"",,""224 NORTH FARMER STREET, OTSEGO, MI"",ALLEGAN,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,403061 - OTTAWA COUNTY LANDFILL INC,OTTAWA COUNTY FARMS LANDFILL,""15550 68TH AVE, COOPERSVILLE, MI"",MID985582097,""15550 68TH AVE, COOPERSVILLE, MI"",OTTAWA,DEBBIE NURMI - (616) 837-7316,,ROBERT CARR - (616) 837-8195,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,491711 - OVERISEL TOWNSHIP TRANSFER STATION,OVERISEL TOWNSHIP TRANSFER STATION,""4349 46 TH STREET, HOLLAND, MI"",,""4349 46 TH STREET, HOLLAND, MI"",ALLEGAN,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,466088 - P & L DISPOSAL,P & L DISPOSAL,""6601 CATHRO RD, ALPENA, MI"",,""6601 CATHRO RD, ALPENA, MI"",ALPENA,(no contact) - (no phone),MR. PHIL LINDLE,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,393993 - PACKAGING CORPORATION OF AMERICA,PCA - FILER MILL,""2246 UDELL ST, FILER CITY, MI"",MID006015911,""2246 UDELL ST, FILER CITY, MI"",MANISTEE,(no contact) - (no phone),,(no contact) - (no phone),1),Type III Industrial Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,491713 - PAVILION TOWNSHIP TRANSFER STATION,PAVILION TOWNSHIP TRANSFER STATION,""9781 EAST S AVENUE, SCOTTS, MI"",,""7510 EAST Q AVENUE, SCOTTS, MI"",KALAMAZOO,(no contact) - (no phone),PAVILION TOWNSHIP HALL,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,491721 - PAW PAW TRANSFER STATION,PAW PAW TRANSFER STATION,""37996 WEST RED ARROW HIGHWAY, PAW PAW, MI"",,""38016 WEST RED ARROW HIGHWAY, PAW PAW, MI"",VAN BUREN,(no contact) - (no phone),BEST WAY DISPOSAL,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,486448 - PENTWATER TOWNSHIP TRANSFER STATION,PENTWATER TOWNSHIP TRANSFER STATION,""TRANSFER SITE ROAD, SEC 31, PENTWATER, MI"",,""327 N HANCOCK ST, P O BOX 512, PENTWATER, MI"",OCEANA,CHUCK SMITH - (231) 869-6231,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,437908 - PEOPLE'S LANDFILL INC,PEOPLES LANDFILL INC,""4143 EAST RATHBUN ROAD, BIRCH RUN, MI"",MIG000050580,""4143 EAST RATHBUN ROAD, BIRCH RUN, MI"",SAGINAW,LORI WINTERS - (810) 621-9080,,LORI WINTERS - (810) 621-9080,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,470423 - PETERSON/LAHTI LANDFILL,PETERSON/LAHTI LANDFILL,""1 LAHTI RD, ROUTE 1 BOX 190, HOUGHTON, MI"",,""ROUTE 1, BOX 190, HOUGHTON, MI"",HOUGHTON,DAVE PETERSON - (906) 482-8660,PETERSON/LAHTI LANDFILL,DAVE PETERSON - (906) 482-8660,1),Type III C&D Waste Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,398972 - PINE TREE ACRES INC,PINE TREE ACRES INC,""36600 29 MILE RD, LENOX, MI"",MID185388089,""36600 29 MILE RD, LENOX, MI"",MACOMB,DAVE ROGERS - (586) 749-9698,,DAVE ROGERS - (586) 749-9698,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,407345 - PITSCH RECYCLING & DISPOSAL INC,PITSCH SANITARY LANDFILL,""7905 JOHNSON RD, BELDING, MI"",MID985644566,""675 RICHMOND ST NW, GRAND RAPIDS, MI"",IONIA,STEVEN PITSCH - (616) 363-4895,,(no contact) - (no phone),1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,407345 - PITSCH RECYCLING & DISPOSAL INC,PITSCH SANITARY LANDFILL,""7905 JOHNSON RD, BELDING, MI"",MID985644566,""675 RICHMOND ST NW, GRAND RAPIDS, MI"",IONIA,STEVEN PITSCH - (616) 363-4895,,(no contact) - (no phone),2),Type III Low Hazardous Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,466686 - PLAINFIELD TOWNSHIP TRANSFER STATION,PLAINFIELD TOWNSHIP TRANSFER STATION,""TOWERLINE RD, HALE, MI"",,""220 N WASHINGTON, PO BOX 247, HALE, MI"",IOSCO,FRED LEWIS - (989) 728-2811,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,476012 - PLUMMERS ENVIRONMENTAL SERVICES INC,PLUMMERS ENVIRONMENTAL SERVICES INC,""10075 SEDROC INDUSTRIAL DR SW, BYRON CENTER, MI"",MIK111229563,""10075 SEDROC INDUSTRIAL DR SW, BYRON CENTER, MI"",KENT,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,395750 - POLLARD DISPOSAL INC,POLLARD DISPOSAL INC,""11349 MCKINLEY RD, MONTROSE, MI"",MID047174768,""11349 MCKINLEY RD, MONTROSE, MI"",GENESEE,LYNN POLLARD - (810) 639-6970,,LYNN POLLARD - (810) 639-6970,1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,470424 - PORTAGE TOWNSHIP LANDFILL,PORTAGE TOWNSHIP LANDFILL,""BOUNDARY RD, HOUGHTON, MI"",,""BOX 750, GREEN ACRES ROAD, HOUGHTON, MI"",HOUGHTON,GINO BECIA - (no phone),PORTAGE TOWNSHIP LANDFILL,GINO BECIA - (no phone),1),Type II MSW Landfill,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,465515 - POWELL TOWNSHIP TRANSFER STATION,POWELL TOWNSHIP TRANSFER STATION,""COUNTY ROAD KG, BIG BAY, MI"",,""COUNTY ROAD 550, BIG BAY, MI"",MARQUETTE,(no contact) - (no phone),POWELL TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,463641 - PRATT INDUSTRIES INC,""HMSH, INC. CLOSED LANDFILL"",""N1452 COUNTY ROAD 577, MENOMINEE, MI"",MIK686459777,""1800C SARASOTA BUSINESS PKWY, CONYERS, GA"",MENOMINEE,SHAUKAT SYED - (404) 502-8974,,SHAUKAT SYED - (404) 502-8974,1),Type III Low Hazardous Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,454320 - R J HOFFMAN MANAGEMENT,R J HOFFMAN MANAGEMENT,""1255 S HOSPITAL, UNION LAKE, MI"",MIG000017856,""1255 S HOSPITAL, WATERFORD, MI"",OAKLAND,(no contact) - (no phone),AMERICAN RECYCLING,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,493226 - R&B Sanitation,R&B Sanitation Transfer Station,""205 E. Helen St., NEWBERRY, MI"",,""R&B Sanitation, 215 W. Harrie St., NEWBERRY, MI"",LUCE,(no contact) - (no phone),Mr. Rich Haley,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,395505 - RACER PROPERTIES LLC,SAGINAW NODULAR INDUSTRIAL LAND,""2100 VETERANS MEMORIAL PARKWAY, SAGINAW, MI"",MID041793340,""500 WOODWARD AVE, SUITE 1510, DETROIT, MI"",SAGINAW,RAY ILLKA - (989) 239-8411,,RAY ILKKA - (989) 239-8411,1),Type III Low Hazardous Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,491696 - READING TOWNSHIP TRANSFER STATION,READING TOWNSHIP TRANSFER STATION,""6101 BLAIR ROAD, READING, MI"",,""6101 BLAIR ROAD, READING, MI"",HILLSDALE,TOWNSHIP CLERK - (517) 283-3286,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,440340 - RECY-CLEAN SERVICES LLC,RECY-CLEAN SERVICES LLC,""1331 HOLDEN ST, DETROIT, MI"",MIG000046044,""1331 HOLDEN ST, DETROIT, MI"",WAYNE,MATTHEW NAIMI - (313) 871-4000,,MATTHEW NAIMI - (313) 871-4000,1),Solid Waste Processing Plant,Post-Closure"
"All Solid Waste Disposal Areas Report,440340 - RECY-CLEAN SERVICES LLC,RECY-CLEAN SERVICES LLC,""1331 HOLDEN ST, DETROIT, MI"",MIG000046044,""1331 HOLDEN ST, DETROIT, MI"",WAYNE,MATTHEW NAIMI - (313) 871-4000,,MATTHEW NAIMI - (313) 871-4000,2),Solid Waste Transfer Facility,Post-Closure"
"All Solid Waste Disposal Areas Report,425051 - RECYCLE ANN ARBOR,RECYCLE ANN ARBOR,""2950 E ELLSWORTH RD, ANN ARBOR, MI"",MIG000058618,""2420 S INDUSTRIAL HWY, ANN ARBOR, MI"",WASHTENAW,(no contact) - (no phone),,CAROL MANEY - (734) 320-6785,1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,397126 - RECYCLE ANN ARBOR,RECYCLE ANN ARBOR SORTING & RECYCLING CENTER,""7891 JACKSON RD, ANN ARBOR, MI"",MID074222670,""PO BOX 249, DEXTER, MI"",WASHTENAW,DON STAEBLER - (734) 260-0192,,(no contact) - (no phone),1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,466621 - REDDING TOWNSHIP TRANSFER STATION,REDDING TOWNSHIP TRANSFER STATION,""8391 W TEMPLE DR, HARRISON, MI"",,""8391 W TEMPLE DR, HARRISON, MI"",CLARE,Tom Krchmar - (989) 429-2566,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,444069 - REGULATED RESOURCE RECOVERY INC,MATLIN ROAD LANDFILL,""200 MATLIN RD, CARLETON, MI"",MIK452374549,""200 MATLIN RD, CARLETON, MI"",MONROE,ROGER HOMRICH - (734) 654-9800,,ROGER HOMRICH - (734) 654-9800,1),Type III C&D Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,442575 - RELIABLE DISPOSAL INC,QUALITY REFUSE SERVICE TRANSFER STATION & PP,""200 ALYWORTH AVE, SOUTH HAVEN, MI"",MIG000041876,""7227 RELIABLE PATH, STEVENSVILLE, MI"",VAN BUREN,DAN MAGOUN - (317) 921-1667,,ERIC STOUB - (616) 429-8161,1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,442575 - RELIABLE DISPOSAL INC,QUALITY REFUSE SERVICE TRANSFER STATION & PP,""200 ALYWORTH AVE, SOUTH HAVEN, MI"",MIG000041876,""7227 RELIABLE PATH, STEVENSVILLE, MI"",VAN BUREN,DAN MAGOUN - (317) 921-1667,,ERIC STOUB - (616) 429-8161,2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,470443 - RELIABLE DISPOSAL INC,RELIABLE DISPOSAL TRANSFER STATION AND PROCESSING,""7227 RELIABLE PATH, STEVENSVILLE, MI"",,""7227 RELIABLE PATH, STEVENSVILLE, MI"",BERRIEN,DAN MAGOUN - (317) 921-1667,,ERIC STOUB - (616) 465-3773,1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,470443 - RELIABLE DISPOSAL INC,RELIABLE DISPOSAL TRANSFER STATION AND PROCESSING,""7227 RELIABLE PATH, STEVENSVILLE, MI"",,""7227 RELIABLE PATH, STEVENSVILLE, MI"",BERRIEN,DAN MAGOUN - (317) 921-1667,,ERIC STOUB - (616) 465-3773,2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,488442 - RELIABLE ROLL OFF COMPANY LLC,RELIABLE ROLL OFF COMPNAY LLC,""CORNER OF M-81 AND GREENLAND ROAD, SECTION 36, ELKLAND TOWNSHIP, CASS CITY, MI"",,""6413 BEECHWOOD DRIVE, CASS CITY, MI"",TUSCOLA,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470334 - RENEWABLE WASTE INC,RENEWABLE WASTE INC,""1480 S WEST BAY SHORE DR, SUTTONS BAY, MI"",,""1480 S WEST BAY SHORE DR, SUTTONS BAY, MI"",LEELANAU,DOUG BUFFUM - (616) 271-2899,RENEWABLE WASTE INC.,DOUG BUFFUM - (616) 271-2899,1),Solid Waste Processing Plant,Post-Closure"
"All Solid Waste Disposal Areas Report,470334 - RENEWABLE WASTE INC,RENEWABLE WASTE INC,""1480 S WEST BAY SHORE DR, SUTTONS BAY, MI"",,""1480 S WEST BAY SHORE DR, SUTTONS BAY, MI"",LEELANAU,DOUG BUFFUM - (616) 271-2899,RENEWABLE WASTE INC.,DOUG BUFFUM - (616) 271-2899,2),Solid Waste Transfer Facility - Exempt,Post-Closure"
"All Solid Waste Disposal Areas Report,448503 - REPUBLIC SERVICES OF MICHIGAN HAULING LLC,CITY OF HILLSDALE TRANSFER STATION,""425 W CARLETON RD, HILLSDALE, MI"",MIK423355650,""100 E NORTH ST, KALAMAZOO, MI"",HILLSDALE,BOB TENHAAF - (269) 383-4840,,DAVE VLADIC - (260) 432-4330,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,390701 - REPUBLIC SERVICES OF MICHIGAN I LLC,CARLETON FARMS LANDFILL,""28800 CLARK RD, NEW BOSTON, MI"",MI0000181230,""28800 CLARK RD, NEW BOSTON, MI"",WAYNE,DAVE SEEGERT - (734) 654-7229,,RALPH DACH - (734) 348-5151,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,390701 - REPUBLIC SERVICES OF MICHIGAN I LLC,CARLETON FARMS LANDFILL,""28800 CLARK RD, NEW BOSTON, MI"",MI0000181230,""28800 CLARK RD, NEW BOSTON, MI"",WAYNE,DAVE SEEGERT - (734) 654-7229,,RALPH DACH - (734) 348-5151,2),Type II MSW Incinerator Ash Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,470480 - REPUBLIC SERVICES OF MICHIGAN II LLC,MACK AVENUE TRANSFER STATION,""12017 MACK AVE, DETROIT, MI"",MIG000016218,""PO BOX 634, NEW BOSTON, MI"",WAYNE,BRIAN EZYK - (734) 654-1158,DETROIT TRANSFER AND RECYCLING STATION,TRENESSA MITCHELL - (313) 823-6401,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,449252 - REPUBLIC SERVICES OF MICHIGAN IV LLC,WHITEFEATHER LANDFILL,""2401 E WHITEFEATHER RD, PINCONNING, MI"",MIG000027562,""2401 E WHITEFEATHER RD, PINCONNING, MI"",BAY,JEFF TUCKER - (989) 879-2700,,JEFF TUCKER - (989) 879-2700,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,391216 - REPUBLIC SERVICES OF MICHIGAN V LLC,ELK RUN LANDFILL,""20667 5 MILE HWY, ONAWAY, MI"",MI0000565192,""20667 5 MILE HWY, ONAWAY, MI"",PRESQUE ISLE,ROB MOORE - (586) 495-6762,,CHRIS GEE - (989) 733-2980,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,426309 - RESOURCE RECOVERY OF BURTON,RESOURCE RECOVERY OF BURTON,""3376 ASSOCIATES DR, BURTON, MI"",MIG000057562,""3376 ASSOCIATES DR, BURTON, MI"",GENESEE,JONNIE MOORE - (810) 397-5239,,JONNIE MOORE - (810) 397-5239,1),Solid Waste Processing Plant,Active - Accepting"
